reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2023-01-01,Air Filter,Engine system,0,310.84,0.0,0.0,Wholesale Client,GCash,Completed,ORD930001,Automated migration
2023-01-01,Air Filter,Engine system,1,229.38,15.15,229.38,Wholesale Client,Cash,Completed,ORD930002,Automated migration
2023-01-01,Air Filter,Engine system,0,313.25,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD930003,Automated migration
2023-01-01,Air Filter,Engine system,1,246.87,21.13,246.87,Retail Client,Check,Completed,ORD930004,Automated migration
2023-01-01,Alternator,Electrical system,0,9673.34,0.0,0.0,Wholesale Client,Cash,Completed,ORD930062,Automated migration
2023-01-01,Brake Pads,Braking system,0,1059.22,0.0,0.0,Wholesale Client,Maya,Completed,ORD930112,Automated migration
2023-01-01,Brake Pads,Braking system,1,1381.33,126.77,1381.33,Wholesale Client,Bank Transfer,Completed,ORD930113,Automated migration
2023-01-01,Catalytic Converter,Exhaust system,3,23993.53,5046.9,71980.59,Retail Client,Maya,Completed,ORD930204,Automated migration
2023-01-01,ECU Module,Electrical system,0,21314.21,0.0,0.0,Wholesale Client,Bank Transfer,Completed,ORD930231,Automated migration
2023-01-01,ECU Module,Electrical system,0,15025.23,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD930232,Automated migration
2023-01-01,ECU Module,Electrical system,0,27814.44,0.0,0.0,Retail Client,GCash,Completed,ORD930233,Automated migration
2023-01-01,ECU Module,Electrical system,0,16068.76,0.0,0.0,Retail Client,Cash,Completed,ORD930234,Automated migration
2023-01-01,Oil Filter,Engine system,1,220.44,15.51,220.44,Retail Client,Maya,Completed,ORD930296,Automated migration
2023-01-01,Oil Filter,Engine system,1,249.93,13.36,249.93,Retail Client,Cash,Completed,ORD930297,Automated migration
2023-01-01,Oil Filter,Engine system,1,146.83,7.74,146.83,Retail Client,Maya,Completed,ORD930298,Automated migration
2023-01-01,Oil Filter,Engine system,0,151.38,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD930299,Automated migration
2023-01-01,Oil Filter,Engine system,0,169.61,0.0,0.0,Retail Client,Maya,Completed,ORD930300,Automated migration
2023-01-01,Oil Filter,Engine system,1,211.17,8.71,211.17,Retail Client,Cash,Completed,ORD930301,Automated migration
2023-01-01,Shock Absorber,Suspension & traction,0,2756.89,0.0,0.0,Wholesale Client,Cash,Completed,ORD930405,Automated migration
2023-01-01,Shock Absorber,Suspension & traction,0,3019.38,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD930406,Automated migration
2023-01-01,Starter Motor,Electrical system,0,8616.53,0.0,0.0,Wholesale Client,Check,Completed,ORD930478,Automated migration
2023-01-02,Air Filter,Engine system,1,245.72,9.58,245.72,Retail Client,Check,Completed,ORD930005,Automated migration
2023-01-02,Air Filter,Engine system,2,336.3,36.55,672.6,Wholesale Client,GCash,Completed,ORD930006,Automated migration
2023-01-02,Alternator,Electrical system,1,11265.87,427.58,11265.87,Retail Client,Check,Completed,ORD930063,Automated migration
2023-01-02,Alternator,Electrical system,0,8728.6,0.0,0.0,Wholesale Client,Cash,Completed,ORD930064,Automated migration
2023-01-02,Alternator,Electrical system,0,8182.66,0.0,0.0,Retail Client,Maya,Completed,ORD930065,Automated migration
2023-01-02,Battery,Electrical system,0,6254.17,0.0,0.0,Retail Client,GCash,Completed,ORD930096,Automated migration
2023-01-02,Brake Pads,Braking system,1,1532.74,62.75,1532.74,Wholesale Client,Bank Transfer,Completed,ORD930114,Automated migration
2023-01-02,Brake Pads,Braking system,0,1567.89,0.0,0.0,Retail Client,Maya,Completed,ORD930115,Automated migration
2023-01-02,ECU Module,Electrical system,0,25957.69,0.0,0.0,Wholesale Client,Maya,Completed,ORD930235,Automated migration
2023-01-02,Oil Filter,Engine system,1,244.42,18.83,244.42,Retail Client,Cash,Completed,ORD930302,Automated migration
2023-01-02,Oil Filter,Engine system,1,156.46,6.1,156.46,Wholesale Client,GCash,Completed,ORD930303,Automated migration
2023-01-02,Oil Filter,Engine system,1,189.92,10.03,189.92,Wholesale Client,Cash,Completed,ORD930304,Automated migration
2023-01-02,Oil Filter,Engine system,1,222.71,7.97,222.71,Retail Client,Bank Transfer,Completed,ORD930305,Automated migration
2023-01-02,Shock Absorber,Suspension & traction,1,3962.83,186.55,3962.83,Wholesale Client,GCash,Completed,ORD930407,Automated migration
2023-01-02,Shock Absorber,Suspension & traction,1,2527.79,101.57,2527.79,Retail Client,Check,Completed,ORD930408,Automated migration
2023-01-02,Shock Absorber,Suspension & traction,1,2546.69,225.11,2546.69,Retail Client,Check,Completed,ORD930409,Automated migration
2023-01-03,Air Filter,Engine system,3,263.59,30.14,790.77,Wholesale Client,Check,Completed,ORD930007,Automated migration
2023-01-03,Air Filter,Engine system,3,245.94,27.6,737.82,Retail Client,GCash,Completed,ORD930008,Automated migration
2023-01-03,Air Filter,Engine system,1,255.63,12.42,255.63,Wholesale Client,Bank Transfer,Completed,ORD930009,Automated migration
2023-01-03,Battery,Electrical system,0,5384.07,0.0,0.0,Wholesale Client,Check,Completed,ORD930097,Automated migration
2023-01-03,Battery,Electrical system,0,4669.83,0.0,0.0,Retail Client,Check,Completed,ORD930098,Automated migration
2023-01-03,Brake Pads,Braking system,0,1350.65,0.0,0.0,Retail Client,Cash,Completed,ORD930116,Automated migration
2023-01-03,Brake Pads,Braking system,0,1335.92,0.0,0.0,Wholesale Client,Cash,Completed,ORD930117,Automated migration
