reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2023-09-30,Turbocharger,Engine system,3,14061.11,1080.51,43263.84,Retail Client,Check,Completed,ORDT100000,Synthetic test data
2023-08-16,Turbocharger,Engine system,4,21935.92,576.2,88319.88,Retail Client,Cash,Completed,ORDT100001,Synthetic test data
2023-03-31,Turbocharger,Engine system,5,15221.69,806.36,76914.81,Wholesale Client,GCash,Completed,ORDT100002,Synthetic test data
2023-10-02,Turbocharger,Engine system,1,19655.72,442.85,20098.57,Retail Client,Bank Transfer,Completed,ORDT100003,Synthetic test data
2023-12-24,Turbocharger,Engine system,5,6500.36,766.85,33268.65,Wholesale Client,Check,Completed,ORDT100004,Synthetic test data
2023-09-26,Turbocharger,Engine system,1,12076.4,726.63,12803.03,Wholesale Client,Maya,Completed,ORDT100005,Synthetic test data
2023-02-28,Turbocharger,Engine system,3,7120.34,1934.76,23295.78,Retail Client,Check,Completed,ORDT100006,Synthetic test data
2023-06-11,Turbocharger,Engine system,2,7670.83,1693.89,17035.55,Wholesale Client,Check,Completed,ORDT100007,Synthetic test data
2023-05-07,Turbocharger,Engine system,4,11268.22,1385.68,46458.56,Retail Client,GCash,Completed,ORDT100008,Synthetic test data
2023-02-28,Turbocharger,Engine system,2,20381.64,1183.19,41946.47,Retail Client,Maya,Pending,ORDT100009,Synthetic test data
2023-10-29,Turbocharger,Engine system,4,22357.44,1871.02,91300.78,Wholesale Client,Check,Completed,ORDT100010,Synthetic test data
2023-08-05,Turbocharger,Engine system,4,19198.33,1527.26,78320.58,Retail Client,Bank Transfer,Pending,ORDT100011,Synthetic test data
2023-03-09,Turbocharger,Engine system,3,21198.65,1701.85,65297.8,Wholesale Client,Bank Transfer,Completed,ORDT100012,Synthetic test data
2023-11-21,Turbocharger,Engine system,3,22909.19,32.66,68760.23,Wholesale Client,Maya,Completed,ORDT100013,Synthetic test data
2023-10-20,Turbocharger,Engine system,5,11477.18,1413.99,58799.89,Wholesale Client,GCash,Completed,ORDT100014,Synthetic test data
2023-12-09,Turbocharger,Engine system,5,22120.23,1984.03,112585.18,Retail Client,GCash,Completed,ORDT100015,Synthetic test data
2023-02-19,Turbocharger,Engine system,2,16234.76,969.88,33439.4,Wholesale Client,Bank Transfer,Completed,ORDT100016,Synthetic test data
2023-01-28,Turbocharger,Engine system,2,11438.44,505.63,23382.51,Wholesale Client,Bank Transfer,Completed,ORDT100017,Synthetic test data
2023-07-01,Turbocharger,Engine system,1,18964.27,675.69,19639.96,Retail Client,GCash,Completed,ORDT100018,Synthetic test data
2023-10-12,Turbocharger,Engine system,4,22377.18,814.35,90323.07,Retail Client,Bank Transfer,Completed,ORDT100019,Synthetic test data
2023-05-22,Turbocharger,Engine system,3,18053.6,758.16,54918.96,Wholesale Client,Cash,Completed,ORDT100020,Synthetic test data
2023-04-27,Turbocharger,Engine system,3,5523.68,1376.7,17947.74,Retail Client,Cash,Completed,ORDT100021,Synthetic test data
2023-01-10,Turbocharger,Engine system,4,18809.97,528.9,75768.78,Retail Client,Maya,Cancelled,ORDT100022,Synthetic test data
2023-11-17,Turbocharger,Engine system,2,16572.51,679.69,33824.71,Wholesale Client,GCash,Completed,ORDT100023,Synthetic test data
2023-10-28,Turbocharger,Engine system,5,7695.57,1066.23,39544.08,Wholesale Client,Cash,Completed,ORDT100024,Synthetic test data
2023-01-15,Turbocharger,Engine system,3,15626.64,726.9,47606.82,Retail Client,GCash,Completed,ORDT100025,Synthetic test data
2023-07-29,Turbocharger,Engine system,1,19355.66,1674.19,21029.85,Wholesale Client,GCash,Completed,ORDT100026,Synthetic test data
2023-11-15,Turbocharger,Engine system,1,14616.17,354.22,14970.39,Wholesale Client,Maya,Completed,ORDT100027,Synthetic test data
2023-03-17,Turbocharger,Engine system,3,6803.75,761.71,21172.96,Wholesale Client,Cash,Completed,ORDT100028,Synthetic test data
2023-08-12,Turbocharger,Engine system,3,12028.58,1309.77,37395.51,Retail Client,Check,Completed,ORDT100029,Synthetic test data
2023-11-15,Turbocharger,Engine system,4,7940.91,445.27,32208.91,Wholesale Client,GCash,Completed,ORDT100030,Synthetic test data
2023-12-19,Turbocharger,Engine system,4,22402.84,158.59,89769.95,Retail Client,Bank Transfer,Completed,ORDT100031,Synthetic test data
