date,order_number,product_name,category,customer_type,quantity,unit_price,other_expenses,total_amount,payment_method
2020-05-09,ORD1000,Shock Absorber,Suspension,Retail,2,107.41,0.0,214.82,Cash
2020-05-09,ORD1001,Radiator,Cooling,Wholesale,13,174.45,0.0,2267.85,Credit card
2020-05-10,ORD1002,Air Filter,Engine,Retail,3,28.42,0.0,85.26,Cash
2020-05-10,ORD1003,Water Pump,Cooling,Retail,3,68.9,0.0,206.7,PayPal
2020-05-11,ORD1004,Brake Pads,Braking system,Retail,5,51.21,56.08,312.13,Bank transfer
2020-05-11,ORD1005,Water Pump,Cooling,Retail,1,66.38,62.32,128.7,Cash
2020-05-11,ORD1006,Shock Absorber,Suspension,Retail,5,60.69,0.0,303.45,PayPal
2020-05-11,ORD1007,Radiator,Cooling,Retail,2,146.45,29.96,322.86,PayPal
2020-05-12,ORD1008,Brake Pads,Braking system,Retail,1,62.37,21.16,83.53,PayPal
2020-05-12,ORD1009,Control Arm,Suspension,Retail,3,170.57,70.06,581.77,Bank transfer
2020-05-12,ORD1010,Oil Filter,Engine,Retail,4,18.15,47.98,120.58,Credit card
2020-05-13,ORD1011,Brake Pads,Braking system,Retail,3,24.15,0.0,72.45,Credit card
2020-05-13,ORD1012,Oil Filter,Engine,Retail,2,14.31,0.0,28.62,Bank transfer
2020-05-13,ORD1013,Spark Plugs,Ignition,Retail,5,5.13,0.0,25.65,Cash
2020-05-14,ORD1014,Brake Rotor,Braking system,Retail,5,98.36,33.77,525.57,Credit card
2020-05-15,ORD1015,Engine Oil,Engine,Corporate,16,48.55,57.74,834.54,Cash
2020-05-16,ORD1016,Fuel Pump,Fuel System,Retail,5,180.03,0.0,900.15,Bank transfer
2020-05-16,ORD1017,Air Filter,Engine,Retail,4,32.47,67.18,197.06,PayPal
2020-05-16,ORD1018,Radiator,Cooling,Retail,4,84.22,0.0,336.88,Cash
2020-05-16,ORD1019,Spark Plugs,Ignition,Retail,4,12.4,55.12,104.72,PayPal
2020-05-17,ORD1020,Radiator,Cooling,Retail,1,146.47,17.34,163.81,Bank transfer
2020-05-17,ORD1021,Spark Plugs,Ignition,Retail,2,14.51,0.0,29.02,Credit card
2020-05-17,ORD1022,Spark Plugs,Ignition,Retail,3,12.53,0.0,37.59,Credit card
2020-05-18,ORD1023,Engine Oil,Engine,Retail,5,50.15,0.0,250.75,Bank transfer
2020-05-18,ORD1024,Shock Absorber,Suspension,Corporate,6,138.51,0.0,831.06,Credit card
2020-05-18,ORD1025,Engine Oil,Engine,Retail,5,45.38,55.31,282.21,Cash
2020-05-19,ORD1026,Control Arm,Suspension,Retail,2,107.08,6.25,220.41,Cash
2020-05-20,ORD1027,Air Filter,Engine,Retail,3,24.32,17.62,90.58,Credit card
2020-05-20,ORD1028,Fuel Pump,Fuel System,Retail,1,200.58,0.0,200.58,PayPal
2020-05-20,ORD1029,Fuel Pump,Fuel System,Retail,5,97.4,0.0,487.0,Bank transfer
2020-05-20,ORD1030,Clutch Kit,Transmission,Retail,1,261.98,0.0,261.98,PayPal
2020-05-21,ORD1031,Air Filter,Engine,Retail,3,21.43,54.93,119.22,Cash
2020-05-21,ORD1032,Fuel Pump,Fuel System,Retail,1,116.35,17.52,133.87,Bank transfer
2020-05-21,ORD1033,Battery,Electrical,Corporate,18,158.03,15.98,2860.52,Credit card
2020-05-22,ORD1034,Brake Pads,Braking system,Retail,2,49.26,0.0,98.52,PayPal
2020-05-23,ORD1035,Air Filter,Engine,Retail,5,26.71,0.0,133.55,Bank transfer
2020-05-23,ORD1036,Engine Oil,Engine,Retail,3,54.85,59.85,224.4,PayPal
2020-05-23,ORD1037,Radiator,Cooling,Retail,2,162.54,40.08,365.16,Credit card
2020-05-23,ORD1038,Brake Pads,Braking system,Retail,2,34.08,0.0,68.16,PayPal
2020-05-24,ORD1039,Alternator,Electrical,Retail,5,310.94,42.37,1597.07,PayPal
2020-05-24,ORD1040,Clutch Kit,Transmission,Retail,4,282.86,57.91,1189.35,Bank transfer
2020-05-25,ORD1041,Oil Filter,Engine,Retail,4,17.56,55.89,126.13,PayPal
2020-05-26,ORD1042,Alternator,Electrical,Retail,3,330.37,33.34,1024.45,Bank transfer
2020-05-26,ORD1043,Brake Rotor,Braking system,Corporate,16,87.12,70.45,1464.37,Bank transfer
2020-05-26,ORD1044,Brake Pads,Braking system,Retail,1,22.59,0.0,22.59,Bank transfer
2020-05-27,ORD1045,Shock Absorber,Suspension,Retail,1,140.99,0.0,140.99,PayPal
2020-05-28,ORD1046,Air Filter,Engine,Retail,3,27.42,0.0,82.26,Bank transfer
2020-05-29,ORD1047,Air Filter,Engine,Retail,1,16.44,15.08,31.52,Credit card
2020-05-29,ORD1048,Control Arm,Suspension,Corporate,7,112.83,0.0,789.81,Cash
