date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2021-01-01,ORD005203,Air Filter,Engine system,Retail,2,324.01,648.02,Cash
2021-01-01,ORD005220,Air Filter,Engine system,Retail,3,335.8,1007.4,Bank Transfer
2021-01-01,ORD022298,Alternator,Electrical system,Wholesale,0,12184.13,0.0,GCash
2021-01-01,ORD021257,Battery,Electrical system,Wholesale,0,5294.91,0.0,Bank Transfer
2021-01-01,ORD008852,Brake Pads,Braking system,Wholesale,1,1381.23,1381.23,Cash
2021-01-01,ORD008867,Brake Pads,Braking system,Retail,1,1480.38,1480.38,Bank Transfer
2021-01-01,ORD008874,Brake Pads,Braking system,Wholesale,4,1028.94,4115.76,Cash
2021-01-01,ORD008883,Brake Pads,Braking system,Retail,1,1545.94,1545.94,Bank Transfer
2021-01-01,ORD008884,Brake Pads,Braking system,Retail,3,1205.2,3615.6,Cash
2021-01-01,ORD008895,Brake Pads,Braking system,Wholesale,2,1149.1,2298.2,Bank Transfer
2021-01-01,ORD025079,Catalytic Converter,Exhaust system,Wholesale,2,18343.93,36687.86,GCash
2021-01-01,ORD025086,Catalytic Converter,Exhaust system,Wholesale,4,17030.77,68123.08,Maya
2021-01-01,ORD025096,Catalytic Converter,Exhaust system,Retail,1,13927.45,13927.45,Cash
2021-01-01,ORD025113,Catalytic Converter,Exhaust system,Retail,1,21755.96,21755.96,Cash
2021-01-01,ORD025126,Catalytic Converter,Exhaust system,Wholesale,1,15300.02,15300.02,GCash
2021-01-01,ORD025191,Catalytic Converter,Exhaust system,Retail,1,19712.69,19712.69,GCash
2021-01-01,ORD025203,Catalytic Converter,Exhaust system,Wholesale,2,19044.49,38088.98,Maya
2021-01-01,ORD025221,Catalytic Converter,Exhaust system,Retail,2,15137.22,30274.44,Cash
2021-01-01,ORD025224,Catalytic Converter,Exhaust system,Wholesale,1,22749.44,22749.44,Cash
2021-01-01,ORD026879,ECU Module,Electrical system,Wholesale,0,22403.75,0.0,Check
2021-01-01,ORD000073,Oil Filter,Engine system,Retail,2,182.47,364.94,Bank Transfer
2021-01-01,ORD013894,Shock Absorber,Suspension & traction,Retail,2,3325.02,6650.04,Cash
2021-01-01,ORD013922,Shock Absorber,Suspension & traction,Retail,1,3793.01,3793.01,GCash
2021-01-01,ORD023947,Starter Motor,Electrical system,Wholesale,3,6363.49,19090.47,Cash
2021-01-01,ORD018342,Wheel Bearing,Drivetrain,Retail,1,1607.48,1607.48,GCash
2021-01-01,ORD018372,Wheel Bearing,Drivetrain,Retail,1,2163.49,2163.49,Bank Transfer
2021-01-01,ORD018392,Wheel Bearing,Drivetrain,Wholesale,2,1660.32,3320.64,Maya
2021-01-02,ORD005227,Air Filter,Engine system,Retail,2,246.76,493.52,Maya
2021-01-02,ORD008855,Brake Pads,Braking system,Retail,2,1351.22,2702.44,GCash
2021-01-02,ORD008856,Brake Pads,Braking system,Wholesale,2,1367.36,2734.72,Maya
2021-01-02,ORD008891,Brake Pads,Braking system,Wholesale,2,1543.9,3087.8,Check
2021-01-02,ORD025152,Catalytic Converter,Exhaust system,Retail,2,16480.89,32961.78,GCash
2021-01-02,ORD025167,Catalytic Converter,Exhaust system,Retail,2,23253.96,46507.92,Cash
2021-01-02,ORD025217,Catalytic Converter,Exhaust system,Retail,1,21627.52,21627.52,Maya
2021-01-02,ORD025223,Catalytic Converter,Exhaust system,Retail,2,23583.77,47167.54,Bank Transfer
2021-01-02,ORD025228,Catalytic Converter,Exhaust system,Retail,2,20398.02,40796.04,GCash
2021-01-02,ORD025231,Catalytic Converter,Exhaust system,Retail,1,12345.97,12345.97,GCash
2021-01-02,ORD000017,Oil Filter,Engine system,Retail,4,203.9,815.6,Bank Transfer
2021-01-02,ORD000024,Oil Filter,Engine system,Wholesale,1,251.45,251.45,Maya
2021-01-02,ORD000027,Oil Filter,Engine system,Wholesale,1,252.37,252.37,Bank Transfer
2021-01-02,ORD000039,Oil Filter,Engine system,Wholesale,1,154.1,154.1,Check
2021-01-02,ORD013907,Shock Absorber,Suspension & traction,Retail,3,2476.44,7429.32,Cash
2021-01-02,ORD013912,Shock Absorber,Suspension & traction,Retail,1,3511.27,3511.27,Maya
2021-01-02,ORD023944,Starter Motor,Electrical system,Retail,1,10842.45,10842.45,Maya
2021-01-02,ORD023949,Starter Motor,Electrical system,Retail,1,10363.85,10363.85,Bank Transfer
2021-01-02,ORD018381,Wheel Bearing,Drivetrain,Retail,3,1902.93,5708.79,Check
2021-01-03,ORD005185,Air Filter,Engine system,Retail,1,248.26,248.26,Check
2021-01-03,ORD005211,Air Filter,Engine system,Retail,1,339.79,339.79,Cash
2021-01-03,ORD008858,Brake Pads,Braking system,Wholesale,1,1009.95,1009.95,GCash
2021-01-03,ORD008898,Brake Pads,Braking system,Wholesale,1,1305.32,1305.32,Bank Transfer
2021-01-03,ORD008900,Brake Pads,Braking system,Wholesale,1,1584.74,1584.74,Maya
2021-01-03,ORD025089,Catalytic Converter,Exhaust system,Retail,2,13103.81,26207.62,Maya
2021-01-03,ORD025137,Catalytic Converter,Exhaust system,Retail,1,12169.05,12169.05,GCash
2021-01-03,ORD025210,Catalytic Converter,Exhaust system,Wholesale,1,13903.27,13903.27,Bank Transfer
2021-01-03,ORD025211,Catalytic Converter,Exhaust system,Wholesale,2,18706.58,37413.16,Cash
2021-01-03,ORD000034,Oil Filter,Engine system,Wholesale,1,226.43,226.43,Cash
