customerName,otherExpenses,category,paymentMethod,status,totalAmount,notes,quantity,unitPrice,reportDate,productName,orderNumber
Wholesale Client,0.0,Engine system,GCash,Completed,0.0,Automated migration,0,310.84,2023-01-01,Air Filter,ORD930001
Wholesale Client,15.15,Engine system,Cash,Completed,229.38,Automated migration,1,229.38,2023-01-01,Air Filter,ORD930002
Retail Client,0.0,Engine system,Bank Transfer,Completed,0.0,Automated migration,0,313.25,2023-01-01,Air Filter,ORD930003
Retail Client,21.13,Engine system,Check,Completed,246.87,Automated migration,1,246.87,2023-01-01,Air Filter,ORD930004
Wholesale Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,9673.34,2023-01-01,Alternator,ORD930062
Wholesale Client,0.0,Braking system,Maya,Completed,0.0,Automated migration,0,1059.22,2023-01-01,Brake Pads,ORD930112
Wholesale Client,126.77,Braking system,Bank Transfer,Completed,1381.33,Automated migration,1,1381.33,2023-01-01,Brake Pads,ORD930113
Retail Client,5046.9,Exhaust system,Maya,Completed,71980.59,Automated migration,3,23993.53,2023-01-01,Catalytic Converter,ORD930204
Wholesale Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,21314.21,2023-01-01,ECU Module,ORD930231
Retail Client,0.0,Electrical system,Bank Transfer,Completed,0.0,Automated migration,0,15025.23,2023-01-01,ECU Module,ORD930232
Retail Client,0.0,Electrical system,GCash,Completed,0.0,Automated migration,0,27814.44,2023-01-01,ECU Module,ORD930233
Retail Client,0.0,Electrical system,Cash,Completed,0.0,Automated migration,0,16068.76,2023-01-01,ECU Module,ORD930234
Retail Client,15.51,Engine system,Maya,Completed,220.44,Automated migration,1,220.44,2023-01-01,Oil Filter,ORD930296
Retail Client,13.36,Engine system,Cash,Completed,249.93,Automated migration,1,249.93,2023-01-01,Oil Filter,ORD930297
Retail Client,7.74,Engine system,Maya,Completed,146.83,Automated migration,1,146.83,2023-01-01,Oil Filter,ORD930298
Retail Client,0.0,Engine system,Bank Transfer,Completed,0.0,Automated migration,0,151.38,2023-01-01,Oil Filter,ORD930299
Retail Client,0.0,Engine system,Maya,Completed,0.0,Automated migration,0,169.61,2023-01-01,Oil Filter,ORD930300
Retail Client,8.71,Engine system,Cash,Completed,211.17,Automated migration,1,211.17,2023-01-01,Oil Filter,ORD930301
Wholesale Client,0.0,Suspension & traction,Cash,Completed,0.0,Automated migration,0,2756.89,2023-01-01,Shock Absorber,ORD930405
Retail Client,0.0,Suspension & traction,Bank Transfer,Completed,0.0,Automated migration,0,3019.38,2023-01-01,Shock Absorber,ORD930406
Wholesale Client,0.0,Electrical system,Check,Completed,0.0,Automated migration,0,8616.53,2023-01-01,Starter Motor,ORD930478
Retail Client,9.58,Engine system,Check,Completed,245.72,Automated migration,1,245.72,2023-01-02,Air Filter,ORD930005
Wholesale Client,36.55,Engine system,GCash,Completed,672.6,Automated migration,2,336.3,2023-01-02,Air Filter,ORD930006
Retail Client,427.58,Electrical system,Check,Completed,11265.87,Automated migration,1,11265.87,2023-01-02,Alternator,ORD930063
