reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2021-01-01,Air Filter,Engine system,2,324.01,56.6,648.02,Retail Client,Cash,Completed,ORD005203,Automated migration
2021-01-01,Air Filter,Engine system,3,335.8,82.55,1007.4,Retail Client,Bank Transfer,Completed,ORD005220,Automated migration
2021-01-01,Alternator,Electrical system,0,12184.13,0.0,0.0,Wholesale Client,GCash,Completed,ORD022298,Automated migration
2021-01-01,Battery,Electrical system,0,5294.91,0.0,0.0,Wholesale Client,Bank Transfer,Completed,ORD021257,Automated migration
2021-01-01,Brake Pads,Braking system,1,1381.23,76.66,1381.23,Wholesale Client,Cash,Completed,ORD008852,Automated migration
2021-01-01,Brake Pads,Braking system,1,1480.38,85.38,1480.38,Retail Client,Bank Transfer,Completed,ORD008867,Automated migration
2021-01-01,Brake Pads,Braking system,4,1028.94,205.99,4115.76,Wholesale Client,Cash,Completed,ORD008874,Automated migration
2021-01-01,Brake Pads,Braking system,1,1545.94,95.78,1545.94,Retail Client,Bank Transfer,Completed,ORD008883,Automated migration
2021-01-01,Brake Pads,Braking system,3,1205.2,184.85,3615.6,Retail Client,Cash,Completed,ORD008884,Automated migration
2021-01-01,Brake Pads,Braking system,2,1149.1,108.11,2298.2,Wholesale Client,Bank Transfer,Completed,ORD008895,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,2,18343.93,1233.68,36687.86,Wholesale Client,GCash,Completed,ORD025079,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,4,17030.77,3241.95,68123.08,Wholesale Client,Maya,Completed,ORD025086,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,1,13927.45,720.42,13927.45,Retail Client,Cash,Completed,ORD025096,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,1,21755.96,930.65,21755.96,Retail Client,Cash,Completed,ORD025113,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,1,15300.02,503.28,15300.02,Wholesale Client,GCash,Completed,ORD025126,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,1,19712.69,904.72,19712.69,Retail Client,GCash,Completed,ORD025191,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,2,19044.49,820.46,38088.98,Wholesale Client,Maya,Completed,ORD025203,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,2,15137.22,734.55,30274.44,Retail Client,Cash,Completed,ORD025221,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,1,22749.44,939.32,22749.44,Wholesale Client,Cash,Completed,ORD025224,Automated migration
2021-01-01,ECU Module,Electrical system,0,22403.75,0.0,0.0,Wholesale Client,Check,Completed,ORD026879,Automated migration
2021-01-01,Oil Filter,Engine system,2,182.47,56.07,364.94,Retail Client,Bank Transfer,Completed,ORD000073,Automated migration
2021-01-01,Shock Absorber,Suspension & traction,2,3325.02,244.18,6650.04,Retail Client,Cash,Completed,ORD013894,Automated migration
2021-01-01,Shock Absorber,Suspension & traction,1,3793.01,153.48,3793.01,Retail Client,GCash,Completed,ORD013922,Automated migration
2021-01-01,Starter Motor,Electrical system,3,6363.49,801.15,19090.47,Wholesale Client,Cash,Completed,ORD023947,Automated migration
2021-01-01,Wheel Bearing,Drivetrain,1,1607.48,102.85,1607.48,Retail Client,GCash,Completed,ORD018342,Automated migration
2021-01-01,Wheel Bearing,Drivetrain,1,2163.49,117.69,2163.49,Retail Client,Bank Transfer,Completed,ORD018372,Automated migration
2021-01-01,Wheel Bearing,Drivetrain,2,1660.32,113.72,3320.64,Wholesale Client,Maya,Completed,ORD018392,Automated migration
2021-01-02,Air Filter,Engine system,2,246.76,56.75,493.52,Retail Client,Maya,Completed,ORD005227,Automated migration
2021-01-02,Brake Pads,Braking system,2,1351.22,117.79,2702.44,Retail Client,GCash,Completed,ORD008855,Automated migration
