date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2020-01-18,ORD000001,Spark Plugs,Electrical system,Wholesale,36,26.4,950.4,Check
2020-02-16,ORD000002,Spark Plugs,Electrical system,Wholesale,19,30.4,577.6,Credit card
2020-03-29,ORD000003,Spark Plugs,Electrical system,Wholesale,27,29.85,805.95,Cash
2020-04-28,ORD000004,Spark Plugs,Electrical system,Retail,34,25.32,860.88,Check
2020-05-26,ORD000005,Spark Plugs,Electrical system,Wholesale,37,44.98,1664.26,Cash
2020-06-24,ORD000006,Spark Plugs,Electrical system,Wholesale,27,27.1,731.7,Credit card
2020-07-04,ORD000007,Spark Plugs,Electrical system,Retail,21,43.67,917.07,Credit card
2020-08-05,ORD000008,Spark Plugs,Electrical system,Retail,42,27.43,1152.06,Cash
2020-09-30,ORD000009,Spark Plugs,Electrical system,Retail,36,35.26,1269.36,Cash
2020-10-14,ORD000010,Spark Plugs,Electrical system,Wholesale,27,41.56,1122.12,Credit card
2020-11-14,ORD000011,Spark Plugs,Electrical system,Retail,40,40.9,1636.0,Check
2020-12-01,ORD000012,Spark Plugs,Electrical system,Retail,44,26.44,1163.36,Transfer
2021-01-07,ORD000013,Spark Plugs,Electrical system,Wholesale,39,27.67,1079.13,Cash
2021-02-03,ORD000014,Spark Plugs,Electrical system,Retail,41,25.9,1061.9,Check
2021-03-26,ORD000015,Spark Plugs,Electrical system,Wholesale,41,26.97,1105.77,Transfer
2021-04-13,ORD000016,Spark Plugs,Electrical system,Retail,37,26.47,979.39,Transfer
2021-05-04,ORD000017,Spark Plugs,Electrical system,Retail,37,40.3,1491.1,Check
2021-06-13,ORD000018,Spark Plugs,Electrical system,Wholesale,40,38.34,1533.6,Credit card
2021-07-30,ORD000019,Spark Plugs,Electrical system,Wholesale,53,34.36,1821.08,Cash
2021-08-27,ORD000020,Spark Plugs,Electrical system,Retail,56,34.02,1905.12,Check
2021-09-28,ORD000021,Spark Plugs,Electrical system,Retail,41,39.9,1635.9,Credit card
2021-10-21,ORD000022,Spark Plugs,Electrical system,Retail,47,29.62,1392.14,Check
2021-11-12,ORD000023,Spark Plugs,Electrical system,Retail,20,25.69,513.8,Cash
2021-12-09,ORD000024,Spark Plugs,Electrical system,Wholesale,33,25.8,851.4,Credit card
2022-01-06,ORD000025,Spark Plugs,Electrical system,Retail,34,32.21,1095.14,Check
2022-02-19,ORD000026,Spark Plugs,Electrical system,Wholesale,26,43.73,1136.98,Credit card
2022-03-30,ORD000027,Spark Plugs,Electrical system,Retail,40,36.22,1448.8,Check
