date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2021-01-01,ORD001433,Alternator,Electrical system,Retail,0,9327.9,0.0,Bank Transfer
2021-01-01,ORD001344,Battery,Electrical system,Retail,0,6062.63,0.0,Check
2021-01-01,ORD001652,Catalytic Converter,Exhaust system,Retail,27,23674.19,639203.13,GCash
2021-01-01,ORD001792,ECU Module,Electrical system,Wholesale,0,27071.69,0.0,Maya
2021-01-02,ORD000560,Brake Pads,Braking system,Retail,15,1061.3,15919.5,Cash
2021-01-02,ORD001650,Catalytic Converter,Exhaust system,Wholesale,26,17628.96,458352.96,Bank Transfer
2021-01-03,ORD001654,Catalytic Converter,Exhaust system,Retail,14,23578.05,330092.7,GCash
2021-01-04,ORD001651,Catalytic Converter,Exhaust system,Wholesale,25,12201.83,305045.75,Maya
2021-01-04,ORD000005,Oil Filter,Engine system,Retail,21,206.16,4329.36,Maya
2021-01-07,ORD000003,Oil Filter,Engine system,Wholesale,21,145.21,3049.41,GCash
2021-01-08,ORD001657,Catalytic Converter,Exhaust system,Wholesale,40,21824.14,872965.6,Bank Transfer
2021-01-10,ORD000886,Shock Absorber,Suspension & traction,Retail,28,3154.36,88322.08,Cash
2021-01-11,ORD000333,Air Filter,Engine system,Retail,29,231.86,6723.94,Check
2021-01-13,ORD000001,Oil Filter,Engine system,Retail,31,172.07,5334.17,Cash
2021-01-13,ORD001551,Starter Motor,Electrical system,Retail,15,7814.78,117221.7,Check
2021-01-14,ORD001552,Starter Motor,Electrical system,Wholesale,31,7226.17,224011.27,Bank Transfer
2021-01-15,ORD000331,Air Filter,Engine system,Wholesale,26,247.4,6432.4,GCash
2021-01-15,ORD000562,Brake Pads,Braking system,Retail,35,1139.79,39892.65,Maya
2021-01-15,ORD001649,Catalytic Converter,Exhaust system,Retail,30,19986.96,599608.8,Bank Transfer
2021-01-15,ORD000888,Shock Absorber,Suspension & traction,Wholesale,34,4023.19,136788.46,GCash
2021-01-15,ORD001162,Wheel Bearing,Drivetrain,Retail,27,2886.61,77938.47,Cash
2021-01-21,ORD000330,Air Filter,Engine system,Wholesale,7,275.49,1928.43,Cash
2021-01-21,ORD000564,Brake Pads,Braking system,Wholesale,28,980.29,27448.12,Bank Transfer
2021-01-21,ORD001656,Catalytic Converter,Exhaust system,Retail,45,21799.62,980982.9,Cash
2021-01-22,ORD001163,Wheel Bearing,Drivetrain,Retail,38,1725.68,65575.84,Bank Transfer
2021-01-23,ORD001653,Catalytic Converter,Exhaust system,Retail,21,21287.04,447027.84,Cash
2021-01-23,ORD001655,Catalytic Converter,Exhaust system,Wholesale,35,14833.76,519181.6,Cash
2021-01-26,ORD000332,Air Filter,Engine system,Retail,38,337.77,12835.26,Maya
2021-01-27,ORD000561,Brake Pads,Braking system,Wholesale,20,1011.63,20232.6,Maya
2021-01-27,ORD000887,Shock Absorber,Suspension & traction,Retail,26,3537.33,91970.58,Cash
2021-01-27,ORD000889,Shock Absorber,Suspension & traction,Retail,14,4177.11,58479.54,Cash
2021-01-30,ORD000563,Brake Pads,Braking system,Retail,20,1180.51,23610.2,Check
2021-01-31,ORD000002,Oil Filter,Engine system,Retail,22,242.6,5337.2,Maya
2021-01-31,ORD000004,Oil Filter,Engine system,Wholesale,34,179.59,6106.06,Cash
2021-01-31,ORD001164,Wheel Bearing,Drivetrain,Retail,26,2158.64,56124.64,Bank Transfer
2021-02-01,ORD001345,Battery,Electrical system,Retail,0,7067.75,0.0,Check
