date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2020-01-05,ORD000001,Spark Plugs,Electrical system,Retail,105,42.75,4488.75,Check
2020-02-03,ORD000002,Spark Plugs,Electrical system,Retail,103,37.17,3828.51,Transfer
2020-03-20,ORD000003,Spark Plugs,Electrical system,Wholesale,125,32.53,4066.25,Cash
2020-04-14,ORD000004,Spark Plugs,Electrical system,Retail,53,39.38,2087.14,Check
2020-05-20,ORD000005,Spark Plugs,Electrical system,Retail,85,44.99,3824.15,Cash
2020-06-06,ORD000006,Spark Plugs,Electrical system,Retail,86,31.07,2672.02,Credit card
2020-07-10,ORD000007,Spark Plugs,Electrical system,Retail,91,44.11,4014.01,Credit card
2020-08-28,ORD000008,Spark Plugs,Electrical system,Wholesale,82,30.95,2537.9,Credit card
2020-09-10,ORD000009,Spark Plugs,Electrical system,Wholesale,79,40.99,3238.21,Check
2020-10-24,ORD000010,Spark Plugs,Electrical system,Retail,73,39.44,2879.12,Cash
2020-11-24,ORD000011,Spark Plugs,Electrical system,Retail,80,27.82,2225.6,Check
2020-12-26,ORD000012,Spark Plugs,Electrical system,Retail,53,41.27,2187.31,Check
2021-01-28,ORD000013,Spark Plugs,Electrical system,Retail,97,43.65,4234.05,Check
2021-02-04,ORD000014,Spark Plugs,Electrical system,Wholesale,77,29.62,2280.74,Credit card
2021-03-04,ORD000015,Spark Plugs,Electrical system,Wholesale,78,34.93,2724.54,Check
2021-04-23,ORD000016,Spark Plugs,Electrical system,Retail,83,31.73,2633.59,Check
2021-05-01,ORD000017,Spark Plugs,Electrical system,Retail,106,40.63,4306.78,Transfer
2021-06-19,ORD000018,Spark Plugs,Electrical system,Retail,107,33.64,3599.48,Cash
2021-07-04,ORD000019,Spark Plugs,Electrical system,Retail,104,29.8,3099.2,Cash
2021-08-10,ORD000020,Spark Plugs,Electrical system,Wholesale,97,29.89,2899.33,Cash
2021-09-01,ORD000021,Spark Plugs,Electrical system,Wholesale,50,44.7,2235.0,Credit card
2021-10-01,ORD000022,Spark Plugs,Electrical system,Retail,97,28.92,2805.24,Credit card
2021-11-17,ORD000023,Spark Plugs,Electrical system,Wholesale,81,39.1,3167.1,Check
2021-12-08,ORD000024,Spark Plugs,Electrical system,Retail,86,26.93,2315.98,Cash
2022-01-27,ORD000025,Spark Plugs,Electrical system,Wholesale,72,39.0,2808.0,Credit card
2022-02-07,ORD000026,Spark Plugs,Electrical system,Wholesale,97,30.43,2951.71,Cash
2022-03-25,ORD000027,Spark Plugs,Electrical system,Retail,79,39.42,3114.18,Cash
2022-04-08,ORD000028,Spark Plugs,Electrical system,Wholesale,107,35.22,3768.54,Credit card
2022-05-08,ORD000029,Spark Plugs,Electrical system,Wholesale,115,26.78,3079.7,Cash
2022-06-18,ORD000030,Spark Plugs,Electrical system,Wholesale,121,36.3,4392.3,Transfer
2022-07-20,ORD000031,Spark Plugs,Electrical system,Wholesale,88,43.14,3796.32,Cash
2022-08-07,ORD000032,Spark Plugs,Electrical system,Wholesale,75,39.92,2994.0,Check
2022-09-12,ORD000033,Spark Plugs,Electrical system,Wholesale,88,43.5,3828.0,Transfer
2022-10-03,ORD000034,Spark Plugs,Electrical system,Retail,81,39.12,3168.72,Credit card
2022-11-04,ORD000035,Spark Plugs,Electrical system,Wholesale,87,33.3,2897.1,Check
2022-12-20,ORD000036,Spark Plugs,Electrical system,Wholesale,63,32.33,2036.79,Credit card
2023-01-23,ORD000037,Spark Plugs,Electrical system,Retail,69,31.47,2171.43,Transfer
2023-02-05,ORD000038,Spark Plugs,Electrical system,Wholesale,148,26.45,3914.6,Cash
2023-03-29,ORD000039,Spark Plugs,Electrical system,Wholesale,81,29.56,2394.36,Cash
2023-04-06,ORD000040,Spark Plugs,Electrical system,Retail,90,31.81,2862.9,Credit card
2023-05-08,ORD000041,Spark Plugs,Electrical system,Wholesale,118,37.34,4406.12,Credit card
2023-06-01,ORD000042,Spark Plugs,Electrical system,Wholesale,76,44.28,3365.28,Transfer
2023-07-07,ORD000043,Spark Plugs,Electrical system,Retail,90,42.26,3803.4,Check
2023-08-15,ORD000044,Spark Plugs,Electrical system,Retail,97,34.8,3375.6,Cash
2023-09-10,ORD000045,Spark Plugs,Electrical system,Wholesale,55,40.77,2242.35,Check
2023-10-13,ORD000046,Spark Plugs,Electrical system,Retail,72,36.8,2649.6,Cash
2023-11-07,ORD000047,Spark Plugs,Electrical system,Retail,89,27.48,2445.72,Transfer
2023-12-22,ORD000048,Spark Plugs,Electrical system,Retail,92,40.95,3767.4,Transfer
2024-01-04,ORD000049,Spark Plugs,Electrical system,Wholesale,78,31.48,2455.44,Credit card
2024-02-08,ORD000050,Spark Plugs,Electrical system,Wholesale,99,32.42,3209.58,Credit card
2024-03-06,ORD000051,Spark Plugs,Electrical system,Retail,67,39.44,2642.48,Check
2024-04-04,ORD000052,Spark Plugs,Electrical system,Wholesale,93,27.24,2533.32,Credit card
2024-05-06,ORD000053,Spark Plugs,Electrical system,Wholesale,113,35.6,4022.8,Check
2024-06-09,ORD000054,Spark Plugs,Electrical system,Retail,96,42.38,4068.48,Transfer
2024-07-27,ORD000055,Spark Plugs,Electrical system,Wholesale,84,40.93,3438.12,Transfer
2024-08-09,ORD000056,Spark Plugs,Electrical system,Wholesale,117,27.71,3242.07,Check
2024-09-30,ORD000057,Spark Plugs,Electrical system,Wholesale,116,36.76,4264.16,Check
2024-10-21,ORD000058,Spark Plugs,Electrical system,Wholesale,65,37.0,2405.0,Transfer
2024-11-16,ORD000059,Spark Plugs,Electrical system,Wholesale,110,42.58,4683.8,Transfer
2024-12-04,ORD000060,Spark Plugs,Electrical system,Retail,35,25.64,897.4,Check
2020-01-09,ORD000061,Brake Pads,Braking system,Retail,25,21.43,535.75,Transfer
2020-02-09,ORD000062,Brake Pads,Braking system,Retail,30,15.48,464.4,Credit card
2020-03-01,ORD000063,Brake Pads,Braking system,Retail,37,18.09,669.33,Check
2020-04-07,ORD000064,Brake Pads,Braking system,Wholesale,28,21.52,602.56,Check
2020-05-25,ORD000065,Brake Pads,Braking system,Retail,33,12.24,403.92,Credit card
2020-06-15,ORD000066,Brake Pads,Braking system,Retail,29,30.8,893.2,Check
2020-07-06,ORD000067,Brake Pads,Braking system,Wholesale,26,13.58,353.08,Credit card
2020-08-09,ORD000068,Brake Pads,Braking system,Retail,28,20.41,571.48,Cash
