date,order_number,product_name,category,customer_type,quantity,unit_price,total_amount,payment_method
2020-01-04,N2,Hydraulic Pump Seal Kit,Hydraulics,Retail,1,81.49,81.49,Credit card
2020-01-08,C1,Gearbox Assembly,Drivetrain,Wholesale,11,789.12,8680.32,Transfer
2020-01-08,W1,Hydraulic Pump Seal Kit,Hydraulics,Retail,2,79.91,159.82,Credit card
2020-01-11,C2,Hydraulic Pump Seal Kit,Hydraulics,Wholesale,8,49.64,397.12,Transfer
2020-01-14,N1,Gearbox Assembly,Drivetrain,Wholesale,12,761.94,9143.28,Transfer
2020-01-18,N3,Hydraulic Pump Seal Kit,Hydraulics,Wholesale,14,86.47,1210.58,Transfer
2020-02-06,N5,Hydraulic Pump Seal Kit,Hydraulics,Retail,1,75.46,75.46,Credit card
2020-02-06,C3,Hydraulic Pump Seal Kit,Hydraulics,Retail,3,94.48,283.44,Credit card
2020-02-13,W2,Industrial O-Ring Kit,Seals & Gaskets,Wholesale,65,23.10,1501.50,Transfer
2020-02-16,C4,Industrial O-Ring Kit,Seals & Gaskets,Retail,6,21.35,128.10,Cash
2020-02-21,N6,Hydraulic Pump Seal Kit,Hydraulics,Retail,1,56.45,56.45,Credit card
2020-02-25,N4,Gearbox Assembly,Drivetrain,Wholesale,4,921.06,3684.24,Transfer
2020-03-17,W3,Industrial O-Ring Kit,Seals & Gaskets,Retail,4,33.06,132.24,Credit card
2020-04-04,N7,Catalytic Converter,Exhaust system,Retail,3,327.62,982.86,Credit card
2020-04-15,C5,Gearbox Assembly,Drivetrain,Wholesale,11,1092.88,12021.68,Transfer
2020-04-20,W4,Catalytic Converter,Exhaust system,Retail,1,375.24,375.24,Credit card
2020-04-28,C6,Hydraulic Pump Seal Kit,Hydraulics,Retail,2,52.64,105.28,Cash
2020-05-02,N8,Gearbox Assembly,Drivetrain,Wholesale,14,968.70,13561.80,Transfer
2020-05-05,N9,Hydraulic Pump Seal Kit,Hydraulics,Retail,5,88.62,443.10,Cash
2020-05-11,C9,Industrial O-Ring Kit,Seals & Gaskets,Wholesale,25,19.70,492.50,Transfer
2020-05-14,C7,Hydraulic Pump Seal Kit,Hydraulics,Retail,2,80.65,161.30,Cash
2020-05-14,C10,Timing Chain Tensioner,Engine,Retail,3,65.91,197.73,Credit card
2020-05-16,W5,Gearbox Assembly,Drivetrain,Wholesale,15,888.38,13325.70,Transfer
2020-05-16,W6,Timing Chain Tensioner,Engine,Wholesale,9,74.58,671.22,Transfer
2020-05-16,N11,Timing Chain Tensioner,Engine,Retail,2,81.26,162.52,Credit card
2020-05-21,C8,Industrial O-Ring Kit,Seals & Gaskets,Retail,5,23.39,116.95,Cash
2020-05-21,N10,Industrial O-Ring Kit,Seals & Gaskets,Wholesale,67,19.70,1319.90,Transfer
2020-06-08,N12,Catalytic Converter,Exhaust system,Wholesale,3,319.00,957.00,Transfer
2020-06-13,C11,Timing Chain Tensioner,Engine,Retail,2,101.80,203.60,Credit card
2020-06-15,N13,Gearbox Assembly,Drivetrain,Retail,1,1186.05,1186.05,Cash
2020-06-16,N14,Timing Chain Tensioner,Engine,Wholesale,8,60.13,481.04,Transfer
2020-07-02,W7,Hydraulic Pump Seal Kit,Hydraulics,Wholesale,21,52.87,1110.27,Transfer
2020-07-03,N15,Timing Chain Tensioner,Engine,Retail,1,116.50,116.50,Credit card
2020-07-10,C12,Hydraulic Pump Seal Kit,Hydraulics,Wholesale,6,82.40,494.40,Transfer
2020-08-05,N17,Industrial O-Ring Kit,Seals & Gaskets,Retail,3,18.22,54.66,Credit card
2020-08-14,N16,Gearbox Assembly,Drivetrain,Retail,2,841.92,1683.84,Credit card
2020-08-20,N18,Industrial O-Ring Kit,Seals & Gaskets,Retail,5,30.14,150.70,Cash
2020-08-23,C13,Timing Chain Tensioner,Engine,Retail,3,60.47,181.41,Cash
2020-08-29,N19,Timing Chain Tensioner,Engine,Wholesale,9,110.02,990.18,Transfer
2020-09-02,C15,Turbocharger Assembly,Engine,Wholesale,2,909.57,1819.14,Transfer
2020-09-04,N20,Catalytic Converter,Exhaust system,Retail,1,383.94,383.94,Credit card
2020-09-05,C14,Catalytic Converter,Exhaust system,Retail,1,376.25,376.25,Credit card
2020-09-11,N21,Hydraulic Pump Seal Kit,Hydraulics,Retail,4,72.58,290.32,Credit card
2020-09-28,W8,Catalytic Converter,Exhaust system,Retail,1,292.92,292.92,Credit card
2020-09-29,N22,Timing Chain Tensioner,Engine,Retail,2,94.95,189.90,Credit card
2020-10-22,W9,Catalytic Converter,Exhaust system,Wholesale,5,416.34,2081.70,Transfer
2020-10-26,N23,Industrial O-Ring Kit,Seals & Gaskets,Retail,7,36.78,257.46,Cash
2020-10-27,N26,Timing Chain Tensioner,Engine,Retail,1,83.91,83.91,Credit card
2020-10-28,N24,Timing Chain Tensioner,Engine,Retail,3,66.49,199.47,Credit card
2020-10-28,N25,Timing Chain Tensioner,Engine,Wholesale,9,80.98,728.82,Transfer
2020-10-31,C16,Turbocharger Assembly,Engine,Retail,2,925.69,1851.38,Credit card
2020-11-01,C17,Hydraulic Pump Seal Kit,Hydraulics,Retail,2,63.21,126.42,Cash
2020-11-03,C18,Hydraulic Pump Seal Kit,Hydraulics,Retail,1,80.99,80.99,Cash
2020-11-06,N27,Catalytic Converter,Exhaust system,Retail,3,340.84,1022.52,Cash
2020-11-07,C19,Hydraulic Pump Seal Kit,Hydraulics,Retail,2,75.78,151.56,Cash
2020-11-08,N31,Turbocharger Assembly,Engine,Retail,2,794.51,1589.02,Credit card
2020-11-10,N28,Hydraulic Pump Seal Kit,Hydraulics,Retail,3,72.72,218.16,Credit card
2020-11-11,N29,Industrial O-Ring Kit,Seals & Gaskets,Retail,9,37.05,333.45,Credit card
2020-11-24,W10,Catalytic Converter,Exhaust system,Retail,1,333.93,333.93,Credit card
2020-11-25,C21,Turbocharger Assembly,Engine,Wholesale,3,837.34,2512.02,Transfer
2020-11-26,N30,Industrial O-Ring Kit,Seals & Gaskets,Retail,7,20.24,141.68,Credit card
